customer_id,order_date,order_time,sku,item_id,item_quantity,item_price,item_discount_raw,item_discount_percentage,item_disc_bins_item_disc_null,item_disc_bins_item_disc_sub_twenty,item_disc_bins_item_disc_sub_forty,item_disc_bins_item_disc_sub_sixty,item_disc_bins_item_disc_sub_eighty,item_disc_bins_item_disc_sub_hundred
4467,2022-09-24,11:13:31,,Basil oil,1,26.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,,Dormilona Party Pet 2021,1,66.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,,Sem Igual Pet Nat Rosé 2021,1,69.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,,Robert Biale Royal Punishers Petite Syrah 2019,1,96.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,,Stratus Cabernet Franc 2017,1,70.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,,Silver Heights The Summit 2018,1,99.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,BBW-WINE-261,Torre dei Beati Montepulciano  Cerasuolo D'Abruzzo Organic 'Rose-Ae' DOC 2020,1,52.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,BBW-WINE-942,Adega do Demo Bitoku 2018,1,57.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,BBW-WINE-902,L.A.S. Vino Pirate Blend 2020,1,88.0,0.0,0.0,True,False,False,False,False,False
4468,2022-08-26,19:31:37,,Fumo olive oil,1,36.0,0.0,0.0,True,False,False,False,False,False
4468,2022-08-26,19:31:37,,Sem Igual Pet Nat Rosé 2021,1,69.0,0.0,0.0,True,False,False,False,False,False
4468,2022-08-26,19:31:37,,Cx,1,58.0,0.0,0.0,True,False,False,False,False,False
4468,2022-08-26,19:31:37,,Babic,1,54.0,0.0,0.0,True,False,False,False,False,False
4468,2022-08-26,19:31:37,,Freehand Wine Sempre Fortis 2020,1,59.0,0.0,0.0,True,False,False,False,False,False
4468,2022-08-26,19:31:37,,Freehand Ormus Field Blend 2020,1,67.0,0.0,0.0,True,False,False,False,False,False
4468,2022-08-26,19:31:37,BBW-WINE-361,Orin Swift Cellars Papillon 2018,1,158.0,0.0,0.0,True,False,False,False,False,False
4469,2022-08-19,15:36:11,,Sem Igual Pet Nat Rosé 2021,1,69.0,0.0,0.0,True,False,False,False,False,False
4469,2022-08-19,15:36:11,,Dormilona Party Pet 2021,1,66.0,0.0,0.0,True,False,False,False,False,False
4469,2022-08-19,15:36:11,,DeLoach Vineyards Russian River Valley Zinfandel 2018,1,64.0,0.0,0.0,True,False,False,False,False,False
4469,2022-08-19,15:36:11,,Partida Creus GT 2019,1,67.0,0.0,0.0,True,False,False,False,False,False
4469,2022-08-19,15:36:11,,Broc Cellars The Badger Nero d'Avola 2019 - Single bottle,1,89.0,0.0,0.0,True,False,False,False,False,False
4469,2022-08-19,15:36:11,,Blink Wines,1,52.0,0.0,0.0,True,False,False,False,False,False
4470,2022-08-14,15:04:39,BBW-WINE-337,Lolea N°5 Rosé,1,28.0,0.0,0.0,True,False,False,False,False,False
4470,2022-08-14,15:04:39,BBW-WINE-338,Lolea N°4 Red Sangria,1,27.0,0.0,0.0,True,False,False,False,False,False
4470,2022-08-14,15:04:39,,Budureasca Premium Tamaioasa Romaneasca 2020,1,52.0,0.0,0.0,True,False,False,False,False,False
4470,2022-08-14,15:04:39,,Dormilona Party Pet 2021,1,66.0,0.0,0.0,True,False,False,False,False,False
4471,2022-08-09,11:57:05,,DeLoach Vineyards Russian River Valley Zinfandel 2018,1,64.0,0.0,0.0,True,False,False,False,False,False
4471,2022-08-09,11:57:05,,Broc Cellars The Badger Nero d'Avola 2019 - Single bottle,1,89.0,0.0,0.0,True,False,False,False,False,False
4471,2022-08-09,11:57:05,BBW-WINE-309,Krontiras Malbec Natural 2021,1,49.0,0.0,0.0,True,False,False,False,False,False
4471,2022-08-09,11:57:05,,Pheasant’s Tears Gorulu Mtsvane 2019,1,62.0,0.0,0.0,True,False,False,False,False,False
4471,2022-08-09,11:57:05,,Seghesio Sonoma Zinfandel 2019,1,85.0,0.0,0.0,True,False,False,False,False,False
