customer_id,order_date,order_time,item_id,item_quantity,item_price,item_discount_raw,item_discount_percentage,item_disc_bins_item_disc_null,item_disc_bins_item_disc_sub_twenty,item_disc_bins_item_disc_sub_forty,item_disc_bins_item_disc_sub_sixty,item_disc_bins_item_disc_sub_eighty,item_disc_bins_item_disc_sub_hundred
3197,2022-04-17,09:25:55,Bodegas Matsu El Viejo 2019,1,88.0,0.0,0.0,1,0,0,0,0,0
3198,2022-04-16,17:09:58,Kew Organic Gin,2,95.0,0.0,0.0,1,0,0,0,0,0
3199,2022-04-15,12:42:35,Shannon Rockview Ridge Pinot Noir 2018,2,68.0,0.0,0.0,1,0,0,0,0,0
3199,2022-04-15,12:42:35,Crystallum Peter Max Pinot Noir 2019,3,68.0,0.0,0.0,1,0,0,0,0,0
3200,2022-04-15,00:47:16,Château Pajzos Tokaji Aszu 5 Puttonyos 2016,1,78.0,0.0,0.0,1,0,0,0,0,0
3201,2022-04-14,17:46:31,Le Mesnil Brut Nv Blanc de Blancs Grand Cru NV,1,98.0,0.0,0.0,1,0,0,0,0,0
3202,2022-04-13,09:18:56,"Grattamacco Rosso Bolgheri Superiore ""Grattamacco"" DOC 2016",5,196.0,0.0,0.0,1,0,0,0,0,0
3203,2022-04-11,01:27:49,"Ferro 13 Negroamaro Puglia ""Hipster"" IGT 2018",1,46.0,0.0,0.0,1,0,0,0,0,0
3204,2022-04-10,22:40:58,Vin Pop Château Surain Popcorn 2018,1,44.0,0.0,0.0,1,0,0,0,0,0
3205,2022-04-10,17:43:47,Vin Pop Château Surain Popcorn 2018,2,44.0,0.0,0.0,1,0,0,0,0,0
3206,2022-04-10,12:09:04,WINESAVE PRO,1,49.9,0.0,0.0,1,0,0,0,0,0
3207,2022-04-09,18:21:02,Auntsfield Single Vineyard Sauvignon Blanc 2020,6,52.0,0.0,0.0,1,0,0,0,0,0
3208,2022-04-09,14:14:12,Daniel Bouland Morgon “Les Delys” 2020,3,58.0,0.0,0.0,1,0,0,0,0,0
3209,2022-04-09,00:09:16,WINESAVE PRO,2,49.9,0.0,0.0,1,0,0,0,0,0
3210,2022-04-07,08:59:52,Château Pajzos Tokaji Aszu 6 Puttonyos 2016,1,82.0,0.0,0.0,1,0,0,0,0,0
3211,2022-04-06,20:20:39,Bodegas Matsu El Viejo 2019,1,88.0,0.0,0.0,1,0,0,0,0,0
3212,2022-04-05,23:47:21,Louis Roederer Cristal Brut Champagne (Millésimé) 2013,1,368.0,0.0,0.0,1,0,0,0,0,0
3213,2022-04-05,18:37:52,Klein Constantia Vin de Constance 2015,1,146.0,0.0,0.0,1,0,0,0,0,0
3214,2022-04-05,01:07:06,Château Pajzos Tokaji Aszu 6 Puttonyos 2016,1,82.0,0.0,0.0,1,0,0,0,0,0
3215,2022-04-04,22:58:58,Ménage à Trois Bourbon Barrel Cabernet Sauvignon 2018,3,52.0,0.0,0.0,1,0,0,0,0,0
3216,2022-04-03,18:18:06,Coppola Diamond Collection Claret 2017,1,69.0,0.0,0.0,1,0,0,0,0,0
3217,2022-04-02,09:10:31,Juliusspital Würzburger Riesling Trocken 2014,2,46.0,0.0,0.0,1,0,0,0,0,0
3218,2022-04-02,07:36:53,Gusbourne Blanc de Blancs 2016,1,128.0,0.0,0.0,1,0,0,0,0,0
3219,2022-04-01,23:26:32,Bodegas Matsu El Viejo 2019,1,88.0,0.0,0.0,1,0,0,0,0,0
3220,2022-04-01,11:09:02,Château Pajzos Tokaji Aszu 6 Puttonyos 2016,1,82.0,0.0,0.0,1,0,0,0,0,0
3221,2022-04-01,00:00:52,Ménage à Trois Bourbon Barrel Cabernet Sauvignon 2018,2,52.0,0.0,0.0,1,0,0,0,0,0
3222,2022-03-31,18:15:05,AMASS Botanic Vodka,1,89.0,0.0,0.0,1,0,0,0,0,0
3223,2022-03-31,17:22:48,Concha y Toro Terrunyo Carmenere 2018,1,69.0,0.0,0.0,1,0,0,0,0,0
3223,2022-03-31,17:22:48,Catena Zapata Malbec 2019,1,48.0,0.0,0.0,1,0,0,0,0,0
3224,2022-03-27,23:35:35,Arzuaga Navarro Crianza 2018,3,70.0,0.0,0.0,1,0,0,0,0,0
3225,2022-03-27,22:04:14,Mastrojanni Rosso di Montalcino 2018,1,77.0,0.0,0.0,1,0,0,0,0,0
3226,2022-03-27,21:31:13,Leoparodi Barolo 2012,1,92.0,0.0,0.0,1,0,0,0,0,0
3227,2022-03-27,21:27:31,Coto de Imaz Gran Reserva 2015,1,59.0,0.0,0.0,1,0,0,0,0,0
3228,2022-03-27,19:29:22,Tenuta San Guido Guidalberto Toscana IGT 2019,1,91.0,0.0,0.0,1,0,0,0,0,0
3229,2022-03-27,19:13:21,Tenuta San Guido Guidalberto Toscana IGT 2019,1,91.0,0.0,0.0,1,0,0,0,0,0
3230,2022-03-27,18:37:46,Y-M - Yannick Alléno & Michel Chapoutier Guer-Van Crozes-Hermitage 2016,1,60.0,0.0,0.0,1,0,0,0,0,0
3230,2022-03-27,18:37:46,Puchang Saperavi 2016,1,80.0,0.0,0.0,1,0,0,0,0,0
3230,2022-03-27,18:37:46,El Hombre Bala Negre 2017,1,68.0,0.0,0.0,1,0,0,0,0,0
3230,2022-03-27,18:37:46,L.A.S. Vino ‘Wholebunch’ Grenache 2018,1,86.0,0.0,0.0,1,0,0,0,0,0
3230,2022-03-27,18:37:46,L.A.S. Vino Pirate Blend 2020,1,88.0,0.0,0.0,1,0,0,0,0,0
3230,2022-03-27,18:37:46,Movia Sauvignon 2018,1,65.0,0.0,0.0,1,0,0,0,0,0
3231,2022-03-27,18:30:32,Kanonkop Estate Paul Sauer 2018,2,101.0,0.0,0.0,1,0,0,0,0,0
3232,2022-03-27,16:57:41,Marc Delienne Fleurie “Maurice” 2018,1,55.0,0.0,0.0,1,0,0,0,0,0
3233,2022-03-27,15:26:44,Bodegas Muga Torre Muga 2016,1,159.0,0.0,0.0,1,0,0,0,0,0
3234,2022-03-27,14:30:59,Louis Roederer Cristal Brut Champagne (Millésimé) 2013,1,368.0,0.0,0.0,1,0,0,0,0,0
3235,2022-03-27,09:42:39,Château Pajzos Tokaji Aszu 6 Puttonyos 2016,2,82.0,0.0,0.0,1,0,0,0,0,0
3236,2022-03-27,02:28:56,Catena Zapata Nicasia Malbec 2016,1,134.0,0.0,0.0,1,0,0,0,0,0
3237,2022-03-27,00:55:24,Zenato Ripassa Valpolicella Ripasso DOC Superiore 2017,1,62.0,0.0,0.0,1,0,0,0,0,0
3237,2022-03-27,00:55:24,Giusti Valpolicella Ripasso Superiore DOC Classico 2018,1,63.0,0.0,0.0,1,0,0,0,0,0
3237,2022-03-27,00:55:24,Cesari Amarone Della Valpolicella Classico 2016,1,78.0,0.0,0.0,1,0,0,0,0,0
3238,2022-03-27,00:25:40,Robert Mondavi Private Selection Bourbon Barrel-Aged Cabernet Sauvignon 2019,1,52.0,0.0,0.0,1,0,0,0,0,0
3238,2022-03-27,00:25:40,Robert Mondavi Private Selection Rum Barrel-Aged Merlot 2019,1,52.0,0.0,0.0,1,0,0,0,0,0
3239,2022-03-27,00:19:10,Torbreck Woodcutter Shiraz 2019,1,64.0,0.0,0.0,1,0,0,0,0,0
3240,2022-03-27,00:18:15,Torbreck Woodcutter Shiraz 2019,1,64.0,0.0,0.0,1,0,0,0,0,0
3241,2022-03-27,00:17:29,Cesari Amarone Della Valpolicella Classico 2016,3,78.0,0.0,0.0,1,0,0,0,0,0
